,episode_reward,nb_episode_steps,nb_steps
0,-100.3012195472804,169,169
1,-102.99601816738854,172,341
2,-107.0517828390035,22,363
3,-115.3176350596267,22,385
4,-100.773472707463,152,537
5,-192.39097010142365,42,579
6,-115.71061579228893,27,606
7,-100.4305854215402,72,678
8,-101.39903341044587,130,808
9,-100.74672971611551,85,893
10,-105.31422176624301,53,946
11,-100.7692632656149,181,1127
12,-121.69679118325152,23,1150
13,-110.50619697634914,13,1163
14,-101.29215405407247,43,1206
15,-100.16299153564502,128,1334
16,-100.6814138548499,78,1412
17,-101.11220379306195,111,1523
18,-125.36285638002371,34,1557
19,-101.13800542233184,146,1703
20,-111.6079792906894,19,1722
21,-107.5562004610326,21,1743
22,-111.78677983156152,12,1755
23,-116.86188739534094,27,1782
24,-103.12783874487262,52,1834
25,-111.0274318465793,14,1848
26,-101.68356626240757,102,1950
27,-101.17181957020092,215,2165
28,-109.1773621481176,16,2181
29,-100.17725493128901,89,2270
30,-112.87197562219225,52,2322
31,-100.82136734484097,147,2469
32,-101.54358442170559,77,2546
33,-100.18334158796256,77,2623
34,-100.19227449189039,119,2742
35,-100.02248089293097,181,2923
36,-115.26407095530786,51,2974
37,-101.12379708057284,94,3068
38,-100.50098944268925,210,3278
39,-114.45721723712171,16,3294
40,-100.45257026030619,118,3412
41,-199.78460491938043,49,3461
42,-100.00877469005613,193,3654
43,-100.73614336272874,36,3690
44,-121.06970053245016,23,3713
45,-100.38438875751157,111,3824
46,-100.70623698461225,112,3936
47,-101.06040745073133,77,4013
48,-199.69794858048198,13,4026
49,-101.78335996846863,173,4199
50,-115.30026453118032,25,4224
51,-107.50361579177475,53,4277
52,-101.7811255062687,123,4400
53,-102.69015956737792,64,4464
54,-103.1934453992317,221,4685
55,-118.53734907931585,25,4710
56,-100.28582720559028,177,4887
57,-126.34151181017563,32,4919
58,31.97542009724191,207,5126
59,-110.3693135864197,26,5152
60,-119.60478647587442,28,5180
61,-185.70089657398893,32,5212
62,-100.65072500613374,87,5299
63,-100.71163758757535,171,5470
64,-102.9078462573296,214,5684
65,72.81784909618116,167,5851
66,-100.94388489256903,80,5931
67,-100.50814117479578,205,6136
68,-100.24957465179969,193,6329
69,-100.47210101215592,79,6408
70,-112.30094510786293,20,6428
71,-100.95109886163172,176,6604
72,-100.7233916289578,223,6827
73,16.922203572167007,223,7050
74,-100.17543371108621,169,7219
75,-100.9394503286167,207,7426
76,-100.42427988045434,198,7624
77,-126.06826348941118,35,7659
78,64.08488166797451,176,7835
79,-100.386350089064,222,8057
80,-114.93859483674598,23,8080
81,82.28967290511841,157,8237
82,-100.40608632214293,235,8472
83,64.30322841222885,175,8647
84,-100.19065982398976,207,8854
85,-114.4675314079496,49,8903
86,-113.11351364838697,21,8924
87,-115.38581713612703,59,8983
88,-100.68289777468019,231,9214
89,-190.04100986564595,30,9244
90,-199.18729824300533,50,9294
91,-102.0558968922976,216,9510
92,-101.19599899493629,48,9558
93,-109.75859519526867,11,9569
94,-115.04628832972247,19,9588
95,-100.92648143841282,180,9768
96,-101.02589872190158,203,9971
97,-102.48233120906994,212,10183
98,-100.17851758802661,191,10374
99,-117.01300528546102,26,10400
100,-101.96792949287254,224,10624
101,-101.10249411788737,205,10829
102,-100.79538887805609,226,11055
103,-118.5911709934152,26,11081
104,-101.12034976791706,174,11255
105,-117.7858818862635,25,11280
106,-134.2948502062917,66,11346
107,-100.2953710110429,214,11560
108,-108.8226079798798,51,11611
109,-101.21687125319957,231,11842
110,-143.871418208414,77,11919
111,-100.95283570502166,231,12150
112,-100.0,100,12250
113,-103.48017638191058,39,12289
114,-107.67222101305836,18,12307
115,-120.29332739614131,24,12331
116,-101.27289393929789,229,12560
117,-106.97431764372195,17,12577
118,-100.16342978101343,216,12793
119,-113.41180327232982,29,12822
120,-102.45832091588193,15,12837
121,-100.19033129156426,223,13060
122,74.14173395344032,165,13225
123,-100.6409918587387,225,13450
124,-100.46417170971986,233,13683
125,101.23117529258958,138,13821
126,-131.4432062939336,64,13885
127,-138.2482313419879,73,13958
128,72.19013076386118,168,14126
129,41.00448016137729,199,14325
130,-102.29545495423577,203,14528
131,-122.26588641542367,64,14592
132,-101.00288674327183,222,14814
133,-125.66494430790014,74,14888
134,-110.76049986152864,20,14908
135,123.76887568541378,115,15023
136,-100.46960666984481,232,15255
137,-104.94266902739827,14,15269
138,126.10393467634968,113,15382
139,-100.29551964547048,219,15601
140,-100.68205094783032,212,15813
141,113.64020360377516,126,15939
142,-133.74552322253305,68,16007
143,-106.44500381392479,39,16046
144,-126.15627077378608,69,16115
145,125.25156659358898,114,16229
146,-100.41249253748356,210,16439
147,135.99262657092274,103,16542
148,-101.1770702361703,206,16748
149,-101.1744143381316,233,16981
150,95.53893308484597,143,17124
151,-100.99555402319723,230,17354
152,-108.12515977571701,50,17404
153,-100.9708881824618,234,17638
154,26.918253592976612,213,17851
155,-130.25440529034103,66,17917
156,-100.2584494047802,221,18138
157,66.63892325043815,173,18311
158,-100.58480285018085,223,18534
159,113.82377368990763,126,18660
160,-119.33097005967022,31,18691
161,-100.54266190138134,213,18904
162,46.20037072909202,193,19097
163,-100.08318548491165,220,19317
164,18.812477264199472,221,19538
165,98.44933303758246,142,19680
166,-100.00038313058566,230,19910
167,132.0505705549597,108,20018
168,108.52289494289154,132,20150
169,38.461374554102846,202,20352
170,24.312052884314014,216,20568
171,122.84704930968593,117,20685
172,-100.27129087230077,231,20916
173,-101.0978491543947,232,21148
174,115.29572310643857,123,21271
175,133.77888767633127,104,21375
176,40.1737669307697,200,21575
177,6.015535133949072,233,21808
178,52.71195155943765,186,21994
179,11.172947187639181,228,22222
180,134.85717997347348,104,22326
181,33.274249219434566,204,22530
182,149.4864863013724,91,22621
183,-103.81304152545837,227,22848
184,157.38424430160129,82,22930
185,150.35473748754475,90,23020
186,124.33401177855585,116,23136
187,122.22285212079021,118,23254
188,162.70440375900841,77,23331
189,140.63455793123921,99,23430
190,125.2237421979492,115,23545
191,149.44359307478874,90,23635
192,145.03924922192047,94,23729
193,31.316781402900077,209,23938
194,151.9636533300148,87,24025
195,101.8755042683077,137,24162
196,95.2622361029564,144,24306
197,119.18464199900009,120,24426
198,151.83166570047428,88,24514
199,164.42102557867423,75,24589
200,55.606764347883384,184,24773
201,153.16403960458632,87,24860
202,158.9374518433794,81,24941
203,149.4638129922493,91,25032
204,88.55074358776923,151,25183
205,138.82875290660516,101,25284
206,144.5058477828091,96,25380
207,151.19924076775362,88,25468
208,141.6912453785467,98,25566
209,146.209800223726,94,25660
210,115.66287824833714,125,25785
211,148.46784418502983,92,25877
212,128.12396062824365,110,25987
213,111.81484566214843,126,26113
214,-100.10950857046889,229,26342
215,155.75010249183467,84,26426
216,164.9073190398546,75,26501
217,148.08574107298654,92,26593
218,153.185824011481,87,26680
219,164.24298778644206,76,26756
220,144.21340898463075,96,26852
221,104.05366806340746,136,26988
222,132.57068854307892,107,27095
223,70.61759462779122,168,27263
224,164.27472208616996,75,27338
225,136.77374835511839,103,27441
226,155.81198701981734,83,27524
227,153.3834240277026,85,27609
228,155.3126484568078,84,27693
229,162.97729486671054,76,27769
230,138.0436608454141,102,27871
231,162.0069644367925,77,27948
232,163.24151990991183,77,28025
233,102.23933158963335,137,28162
234,168.36981228693872,72,28234
235,165.54037509757495,75,28309
236,106.57599080905742,134,28443
237,147.27393890903645,93,28536
238,166.46444408237124,74,28610
239,154.3843894949012,85,28695
240,156.2865657597899,83,28778
241,136.60692327383634,103,28881
242,143.71351554139792,94,28975
243,148.434940655304,92,29067
244,161.94810925761388,77,29144
245,64.26409701709423,174,29318
246,159.30871684504405,79,29397
247,162.5476296843617,77,29474
248,165.36195454705285,73,29547
249,142.76970392450048,95,29642
250,153.65036843998192,84,29726
251,163.90491113400108,74,29800
252,97.19561301254477,143,29943
253,106.94855156884361,132,30075
254,149.63342851522248,91,30166
255,166.97171809749926,71,30237
256,109.07331142623933,130,30367
257,128.29271970254717,112,30479
258,148.6110297005609,91,30570
259,159.7934425421653,78,30648
260,174.97267373527555,64,30712
261,139.53056568662078,99,30811
262,153.94713965897017,84,30895
263,165.68289107352928,74,30969
264,147.5467545385045,93,31062
265,149.16377269565191,91,31153
266,166.1989808405051,74,31227
267,137.67252098309189,102,31329
268,153.22522244554398,87,31416
269,100.43532372034612,139,31555
270,158.42363215175732,82,31637
271,162.75149084676576,77,31714
272,155.77067967789932,83,31797
273,145.26199521097595,95,31892
274,140.90788597400547,97,31989
275,173.02926471616505,65,32054
276,162.50919824026656,78,32132
277,154.0714439411218,86,32218
278,171.60732941319213,69,32287
279,161.33473329006142,79,32366
280,149.88486933912955,90,32456
281,150.94254162129792,87,32543
282,146.48653922202604,93,32636
283,166.7685285203905,71,32707
284,121.74506128472781,118,32825
285,145.20364413579173,94,32919
286,119.356557187354,120,33039
287,177.33419615345775,63,33102
288,169.25206287458326,69,33171
289,136.24405347190634,104,33275
290,169.76508476261938,69,33344
291,178.6357993477954,60,33404
292,179.3100327062,61,33465
293,171.07562359158024,69,33534
294,153.73912046213607,86,33620
295,152.47160820872097,87,33707
296,64.66482137196427,175,33882
297,162.08011771522462,78,33960
298,168.7617999824169,70,34030
299,170.3108583864876,69,34099
300,154.4471584654569,85,34184
301,158.33569040796817,80,34264
302,173.44205858054175,67,34331
303,175.98492934409242,64,34395
304,168.6216871039735,71,34466
305,175.283551120473,65,34531
306,128.53820658335147,110,34641
307,176.51472704277535,64,34705
308,74.06962685575576,166,34871
309,155.80480486245605,82,34953
310,166.97968647528222,73,35026
311,140.02087167198744,100,35126
312,185.0901697713599,55,35181
313,153.63753798790708,86,35267
314,175.57621844129676,63,35330
